valid,invalid_reason,id,address,symbol,chain,signal_type,signal_types,abnormal_rule,trend_interval,event_ts,event_time,push_count,last_event_ts,last_event_time,snapshot_id,current_mcap,first_signal_mcap,first_signal_ts,first_signal_time,first_signal_change_pct,price_change_pct,max_abnormal_mcap,ath_mcap,liquidity,pool_mcap_ratio,age_sec,resolution,entry_price_field,entry_price,entry_time,peak_price,peak_time,lowest_price,lowest_time,post_peak_low_price,post_peak_low_time,current_price,current_time,max_gain_pct,max_gain_multiple,current_return_pct,entry_drawdown_pct,lowest_return_pct,high_to_low_drawdown_pct,high_to_current_drawdown_pct,time_to_peak_min,time_to_low_min,time_peak_to_low_min,volume_usd,candles
True,,261,HDG8Ng6YLpiYXzBASD1Zd5Wh7T8DHRYFcbf4YGuvpump,Octopus,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,1m,1778863544,2026-05-16 00:45:44,9,1778887191,2026-05-16 07:19:51,58051,135847.89156982835,135847.89156982835,1778863543,2026-05-16 00:45:43,0.0,15.638833435258642,0.0,222607.9268324184,45062.035174256,0.33170949253263365,1257268,5m,close_at_signal,0.00017813560243538416,2026-05-16 04:45:00,0.00018974026177846423,2026-05-16 05:35:00,0.00013289625164292213,2026-05-16 05:55:00,0.00013289625164292213,2026-05-16 05:55:00,0.00014805398469706755,2026-05-16 12:35:00,6.514508713826306,1.065145087138263,-16.88692059703687,-25.396018636348614,-25.396018636348614,29.958855122647442,21.97018001907707,289.26666666666665,309.26666666666665,20.0,34215.372947865086,90
True,,262,8BuGJvmzrtKg1Pq31pdcabFk5UVdvykAYqNqPfWGpump,Bear,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,1m,1778863550,2026-05-16 00:45:50,34,1778896362,2026-05-16 09:52:42,58052,177797.10881367253,255925.93368087197,1778829955,2026-05-15 15:25:55,-30.52790459470299,23.452854558629937,0.0,1094319.987397139,47351.6367918953,0.2663239976613949,604671,5m,close_at_signal,0.00012611424930588722,2026-05-16 05:15:00,0.00027296469756709593,2026-05-16 09:25:00,0.00012166219624106855,2026-05-16 05:25:00,0.00015356985306416138,2026-05-16 12:35:00,0.00015594400720464138,2026-05-16 12:40:00,116.4423917752754,2.164423917752754,23.652963929875014,-3.5301744960003045,-3.5301744960003045,43.74003142790536,42.87026542459409,519.1666666666666,279.1666666666667,190.0,134398.8566616236,90
True,,264,AfV8U7ZSbdg4ZM5xZ2P9vbrfX3NmEBSDYNNuBriQpump,COMPUTE,sol,abnormal,"abnormal,quiet_runup",OLD_MCAP_4W_UP15,5m,1778863579,2026-05-16 00:46:19,3,1778864754,2026-05-16 01:05:54,58054,45559.653575436,45559.653575436,1778863578,2026-05-16 00:46:18,0.0,287.469227851777,0.0,228110.41058826755,19767.67220395206,0.43388548096006646,251564,5m,close_at_signal,5.244580878156457e-05,2026-05-16 00:45:00,5.671169871211656e-05,2026-05-16 00:45:00,2.6063987358391543e-05,2026-05-16 03:55:00,2.6063987358391543e-05,2026-05-16 03:55:00,2.7336301155606973e-05,2026-05-16 12:20:00,8.133900553081963,1.0813390055308196,-47.8770529224519,-50.3030118823272,-50.3030118823272,54.041250834860065,51.79777404592798,0.0,188.68333333333334,190.0,15168.233381194103,66
True,,266,21rwEDi83RveK3DNgtC6Trs4vyERfqvQTN36F1dmW6ND,Clawd,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,5m,1778863586,2026-05-16 00:46:26,2,1778902529,2026-05-16 11:35:29,58056,131179.46193695298,131179.46193695298,1778863585,2026-05-16 00:46:25,0.0,21.955998442719604,0.0,1327959.1930626242,43525.17497073004,0.33179870025422853,662164,5m,close_at_signal,0.00015049823099481908,2026-05-16 03:30:00,0.00015878900485202585,2026-05-16 11:25:00,0.00012070495099746359,2026-05-16 04:35:00,0.00014202148047966735,2026-05-16 12:35:00,0.0001452451054137478,2026-05-16 12:40:00,5.508884591136609,1.055088845911366,-3.4904899189493577,-19.796432024759902,-19.796432024759902,10.559625578599729,8.529494501775792,638.5666666666667,228.56666666666666,70.0,33649.727420144445,90
True,,267,DEffWzJyaFRNyA4ogUox631hfHuv3KLeCcpBh2ipBAGS,X1XHLOL,sol,abnormal,"abnormal,quiet_runup",OLD_MCAP_4W_UP15,1m,1778863777,2026-05-16 00:49:37,2,1778863777,2026-05-16 00:49:37,58065,124692.28481099999,124692.28481099999,1778863775,2026-05-16 00:49:35,0.0,117.00895448741855,0.0,165707.9170168221,28720.8003125736,0.2303334192336488,10284453,5m,close_at_signal,0.00015092679362025012,2026-05-16 00:45:00,0.000160315401996531,2026-05-16 00:45:00,8.825312087642777e-05,2026-05-16 12:35:00,8.825312087642777e-05,2026-05-16 12:35:00,8.825312087642777e-05,2026-05-16 12:35:00,6.220637271274532,1.0622063727127453,-41.52587571794364,-41.52587571794364,-41.52587571794364,44.950316827114676,44.950316827114676,0.0,705.3833333333333,710.0,19211.442941320303,60
True,,270,21rKrtBzibPAZHAHQRzGiGDSh7XimCKB2a8VgsjZpump,CHUD,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,5m,1778863986,2026-05-16 00:53:06,7,1778899971,2026-05-16 10:52:51,58089,1031095.82966682,897998.985446918,1778854063,2026-05-15 22:07:43,14.821491602650532,27.218871524561937,0.0,2117708.8889261596,112851.9425230804,0.10944854908349932,3165542,5m,close_at_signal,0.0010503445565434564,2026-05-16 05:15:00,0.001324763500760231,2026-05-16 10:50:00,0.0008371611200061796,2026-05-16 09:35:00,0.0011395922445065693,2026-05-16 12:40:00,0.0011413143774672092,2026-05-16 12:40:00,26.126564136234553,1.2612656413623455,8.66095038594976,-20.296524146213034,-20.296524146213034,13.977684027933968,13.847688526121637,596.9,521.9,110.0,200712.05750770395,90
True,,272,CSrwNk6B1DwWCHRMsaoDVUfD5bBMQCJPY72ZG3Nnpump,Franklin,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,1m,1778864352,2026-05-16 00:59:12,2,1778867015,2026-05-16 01:43:35,58125,181534.80318691302,181534.80318691302,1778864351,2026-05-16 00:59:11,0.0,30.081401628284915,0.0,185520.86614015317,75607.52589490048,0.4164905272574812,14276500,5m,close_at_signal,0.0001853995739865149,2026-05-16 00:55:00,0.00019845204845568242,2026-05-16 01:45:00,0.00015058839351090924,2026-05-16 12:35:00,0.00015058839351090924,2026-05-16 12:35:00,0.00015058839351090924,2026-05-16 12:35:00,7.040185793585962,1.0704018579358596,-18.776300143029278,-18.776300143029278,-18.776300143029278,24.118498809782718,24.118498809782718,45.8,695.8,650.0,20914.46736431639,76
True,,274,Bb4jR951QtVjeFAYFLBYXDSMKjbTDroCLPbFLdd7pump,memecoin,sol,quiet_breakout,quiet_breakout,TRENDING_QUIET_RANGE_BREAKOUT,1m,1778864556,2026-05-16 01:02:36,1,1778864556,2026-05-16 01:02:36,58145,9610447.96770408,9610447.96770408,1778864556,2026-05-16 01:02:36,0.0,11.247634612081324,0.0,9753622.288449606,279153.8571123456,0.02904691415534868,5095825,5m,close_at_signal,0.009878067686410858,2026-05-16 01:40:00,0.010279263531792126,2026-05-16 12:15:00,0.009364971171174045,2026-05-16 04:55:00,0.01016697835746774,2026-05-16 12:40:00,0.01016697835746774,2026-05-16 12:40:00,4.061481031691949,1.0406148103169195,2.9247690968379647,-5.194300459619983,-5.194300459619983,1.0923464893871637,1.0923464893871637,672.4,232.4,25.0,58695.621343877494,90
True,,278,3oDzEg1v1KLQeL3fWhCTFPssFMzaDqEnYdAY5HZrpump,PNL,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,5m,1778864742,2026-05-16 01:05:42,6,1778895506,2026-05-16 09:38:26,58160,67962.76557522,68381.7664775352,1778829497,2026-05-15 15:18:17,-0.612737757298006,50.0230221406815,0.0,79039.0664165032,23199.23981028582,0.3413522038712405,237658,5m,close_at_signal,5.397232698173823e-05,2026-05-16 03:10:00,0.00011824976796666022,2026-05-16 09:35:00,4.924332826056449e-05,2026-05-16 05:35:00,7.912101006579763e-05,2026-05-16 10:25:00,9.019820462338088e-05,2026-05-16 12:40:00,119.09332908079087,2.1909332908079087,67.11935480176689,-8.761895188943436,-8.761895188943436,33.08992361988794,23.72229884729101,509.3,269.3,50.0,31153.935805787936,90
True,,282,2N9BXbRtyZM4YHzj9wvteW1Nuq6B5DzDwh57dDmZpump,PAIN,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,5m,1778865091,2026-05-16 01:11:31,4,1778888674,2026-05-16 07:44:34,58189,567932.897223112,351707.61751645996,1778825794,2026-05-15 14:16:34,61.478702461294496,23.404978294287268,0.0,737829.3198824885,76020.5107093876,0.133854740729208,356668,5m,close_at_signal,0.00040551275120978515,2026-05-16 05:15:00,0.0004547413429900474,2026-05-16 07:20:00,0.0003329904816951834,2026-05-16 06:10:00,0.00035196374277472454,2026-05-16 12:25:00,0.00036468587534611635,2026-05-16 12:35:00,12.139838176086016,1.1213983817608602,-10.067963520719903,-17.88409101766657,-17.88409101766657,22.601331899917497,19.803668400104545,368.48333333333335,298.48333333333335,305.0,103036.50676846519,89
