Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
53YzvGfVV8ewDJVvgsJjizoLCFRULQiRghk6VrAhK3T9ukuSwsKoaBNywJswQAi2oqms3bUSVS1igfQbhBSjHSQM,1777445556,2026-04-29T06:52:36.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,499997059,6,E95sJahssFKUk6jcWYbyfmjtcCsr4Z226HD9Qbjupump,436868272864,6,500.03,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|ZERor4xhbUycZ6gb9ntrhqscUcZmAbQDjEAtCf4hbZY|SCoRcH8c2dpjvcJD6FiPbCSQyQgu3PcUAWj2Xxx3mqn|pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
48g8TDjzbbNYbjwaxGtBhEBcgdjXngYtHPnsbswQTTujfh9FwQsT1jUZmdbbYKqgoiA19ZaFfDnBA1aWHakkEaoa,1777445519,2026-04-29T06:51:59.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,499996706,6,E95sJahssFKUk6jcWYbyfmjtcCsr4Z226HD9Qbjupump,418055344129,6,500.01,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|ZERor4xhbUycZ6gb9ntrhqscUcZmAbQDjEAtCf4hbZY|SCoRcH8c2dpjvcJD6FiPbCSQyQgu3PcUAWj2Xxx3mqn|pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
2TDeWuMJTmhmmRnCga7wB4ze3tnBiipVeJV7uxU61iaBbfhX1GoBSfudzC9bxGbvoSSM65SMbPNkD6MsDqtUKztP,1777445495,2026-04-29T06:51:35.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,499997302,6,E95sJahssFKUk6jcWYbyfmjtcCsr4Z226HD9Qbjupump,421728999258,6,500.02,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF|9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp|pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
5DbD3K6LTnf9Ho7oh21t9AkREF1LWSUboFpf44F3HN1axFpEgLsotLkhSTsgVdJd41yBu3e5krpKTYuubMoPQsB4,1777445388,2026-04-29T06:49:48.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,1322723248,9,4UeLCRqARmfb6e6KQijtiktqqXUxbfk6jZng7DhuBAGS,29491591563435,9,112.09,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,1.0,1.0
5DbD3K6LTnf9Ho7oh21t9AkREF1LWSUboFpf44F3HN1axFpEgLsotLkhSTsgVdJd41yBu3e5krpKTYuubMoPQsB4,1777445388,2026-04-29T06:49:48.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,112088382,6,So11111111111111111111111111111111111111112,1322723248,9,112.09,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||TessVdML9pBGgG9yGks7o4HewRaXVAMuoVj4x83GLQH,1.0,1.0
5DbD3K6LTnf9Ho7oh21t9AkREF1LWSUboFpf44F3HN1axFpEgLsotLkhSTsgVdJd41yBu3e5krpKTYuubMoPQsB4,1777445388,2026-04-29T06:49:48.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,112087141,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,112088382,6,112.09,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF,1.0,1.0
pS1h4x36RrQZJVoedkU6Fc1MbPWUjxeNYP5XwtacURUMM9fJyCx5GusrPemNCjbzsHeEP2QTPVdjcwCe2XyFmS1,1777445226,2026-04-29T06:47:06.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,246076243,6,So11111111111111111111111111111111111111112,2903345209,9,246.02,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|goonuddtQRrWqqn5nFyczVKaie28f3kDkHWkHtURSLE,1.0,1.0
4PGSkabcnFXhLvHBkcccCnXVda5qDhkKLEarzyuq9PTgL1evPQe8aBHZMCX7TYC7FivdJmSEjuk3FztRyqJkMxgD,1777445061,2026-04-29T06:44:21.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,3536237915,9,E95sJahssFKUk6jcWYbyfmjtcCsr4Z226HD9Qbjupump,354729474702,6,299.96,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,1.0,1.0
4PGSkabcnFXhLvHBkcccCnXVda5qDhkKLEarzyuq9PTgL1evPQe8aBHZMCX7TYC7FivdJmSEjuk3FztRyqJkMxgD,1777445061,2026-04-29T06:44:21.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,8249179418,9,E95sJahssFKUk6jcWYbyfmjtcCsr4Z226HD9Qbjupump,825561290346,6,699.72,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
4PGSkabcnFXhLvHBkcccCnXVda5qDhkKLEarzyuq9PTgL1evPQe8aBHZMCX7TYC7FivdJmSEjuk3FztRyqJkMxgD,1777445061,2026-04-29T06:44:21.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,999995464,6,So11111111111111111111111111111111111111112,11787459715,9,999.85,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,1.0,1.0
